1-18,Even,Red,Black,Odd,19-36,Dozen 1 & 2,Dozen 1 & 3,Dozen 2 & 3,Column 1 & 2,Column 1 & 3,Column 2 & 3,Rom 1 Down,Rom 1 Up,Rom 1 Low,Rom 1 High,Rom 2 Down,Rom 2 Up,Rom 2 Low,Rom 2 High,Rom 3 Down,Rom 3 Up,Rom 3 Low,Rom 3 High,5DS ,Dirty Doz 1-18,Dirty Doz 19-36,DS 01-06,DS 07-12,DS 25-30,DS 31-36,C34-MOAC,C34-D1-OL,C34-D1-OM,C34-D1-OH,C34-D1-IL,C34-D1-IM,C34-D1-IH,C34-D2-OM,C34-D2-OH,C34-D2-IL,C34-D2-IM,C34-D2-IH,C34-D3-OL,C34-D3-OM,C34-D3-OH,C34-D3-IL,C34-D3-IM,C34-D3-IH,33 of 37,Economy SD Up,Economy SD Down,Countdown 1 & 2,Countdown 1 & 3,Countdown 2 & 3,Degen Mo-Hi,Degen Mo-Mid,Degen Mo-Low,Black Mo,Red Mo,Slow Mo,Pay Bill,Pay Rent FWD,Pay Rent REV,Rail Grinder-High,Rail Grinder-Mid,Rail Grinder-Low,Ricky Bobby,-Zero
11,22,21,22,21,29,11,11,23,16,16,17,15,15,15,15,11,11,11,11,11,11,11,11,14,11,11,17,17,11,11,11,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,14,13,13,12,11,22,13,13,14,13,15,11,14,11,11,12,12,12,11,
12,24,23,24,23,30,12,12,24,17,18,18,16,16,16,16,12,12,12,12,12,12,12,12,15,12,12,18,18,12,12,12,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,15,14,14,13,12,23,14,15,15,15,16,12,15,12,12,13,13,13,12,
13,26,25,26,25,31,13,25,25,19,19,20,17,17,17,17,14,13,13,14,13,13,13,13,16,13,19,19,19,13,13,14,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,16,15,15,14,20,24,16,16,16,17,17,13,16,13,13,14,14,14,13,
14,28,27,28,27,32,14,26,26,20,21,21,18,18,18,18,15,14,14,15,14,14,14,14,17,14,20,20,20,14,14,15,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,17,16,16,15,23,25,17,17,17,18,18,14,17,14,14,15,15,15,14,
15,30,30,29,29,33,15,27,27,22,22,23,19,19,19,19,17,16,16,17,15,15,15,15,18,15,21,21,21,15,15,16,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,15,15,18,17,17,16,26,26,18,18,18,20,19,15,18,16,15,16,16,17,15,
16,32,32,31,31,34,16,28,28,23,24,24,20,20,20,20,18,17,17,18,16,16,16,16,19,16,22,22,22,16,16,17,18,18,18,18,18,18,17,17,17,16,16,16,16,16,16,16,16,19,18,18,17,27,27,19,19,19,21,20,16,19,17,16,17,18,18,16,
17,34,34,33,33,35,17,29,29,25,25,26,21,21,21,21,19,20,19,20,17,17,17,17,20,17,23,23,23,17,17,18,19,19,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,20,19,19,18,28,28,20,20,20,22,21,17,20,19,17,19,19,19,17,
18,36,36,35,35,36,18,30,30,26,27,27,22,22,22,22,20,21,20,21,18,18,18,18,21,18,24,24,24,18,18,19,20,20,20,20,20,20,19,19,20,19,19,18,18,18,18,18,18,21,20,20,19,29,29,21,21,21,23,22,18,21,20,18,20,20,20,18,
,,,,,,19,31,31,28,28,29,23,23,23,23,22,23,22,23,19,19,19,19,22,25,25,25,25,19,19,20,21,21,21,21,21,21,20,20,21,21,20,19,19,19,19,19,19,22,21,21,20,30,30,22,22,23,24,23,19,22,21,19,21,21,21,19,
,,,,,,20,32,32,29,30,30,24,24,24,24,23,24,23,24,20,20,20,20,23,26,26,26,26,20,20,21,22,22,22,22,22,22,21,21,22,22,22,20,20,20,20,20,20,23,22,22,21,31,31,23,24,24,25,24,20,23,22,20,22,22,22,20,
,,,,,,21,33,33,31,31,32,25,25,25,25,25,25,25,25,21,21,21,21,24,27,27,27,27,21,21,23,23,23,23,23,23,23,22,22,23,23,23,21,21,21,21,21,21,24,23,23,22,32,32,25,25,26,26,25,21,24,23,22,23,23,23,21,
,,,,,,22,34,34,32,33,33,26,26,26,26,26,26,26,26,22,22,22,22,25,28,28,28,28,22,22,24,24,24,24,24,24,24,24,23,24,24,24,22,22,22,22,22,22,25,24,24,23,33,33,26,27,27,28,27,22,28,24,23,24,24,24,23,
,,,,,,23,35,35,34,34,35,27,27,27,27,27,27,27,27,23,23,23,23,26,29,29,29,29,23,23,25,25,25,25,25,25,25,25,25,25,25,25,23,23,23,23,23,23,26,25,25,24,34,34,28,28,28,29,29,23,29,25,25,25,25,25,25,
,,,,,,24,36,36,35,36,36,28,28,28,28,28,28,28,28,24,24,24,24,27,30,30,30,30,24,24,26,26,26,26,26,26,26,26,26,26,26,26,24,24,24,24,24,24,27,26,26,32,35,35,29,29,29,30,30,25,30,26,26,26,26,26,26,
,,,,,,,,,,,,29,29,29,29,29,29,29,29,26,25,25,26,28,31,31,31,31,31,25,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,25,25,28,27,27,35,36,36,30,30,30,31,32,26,31,27,27,27,27,27,27,
,,,,,,,,,,,,30,30,30,30,30,30,30,30,27,26,26,27,29,32,32,32,32,32,26,28,28,28,28,28,28,28,28,28,28,28,28,27,27,26,26,26,26,29,28,28,,,,31,31,31,33,34,27,32,28,28,28,28,28,28,
,,,,,,,,,,,,31,31,31,31,31,31,31,31,29,28,28,29,30,33,33,33,33,33,27,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,27,27,27,30,29,29,,,,32,32,32,35,35,28,33,29,29,29,29,29,29,
,,,,,,,,,,,,32,32,32,32,32,32,32,32,30,29,29,30,31,34,34,34,34,34,28,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,28,28,31,30,30,,,,33,33,33,36,36,29,34,30,30,30,30,30,30,
,,,,,,,,,,,,33,33,33,33,33,33,33,33,31,32,31,32,32,35,35,35,35,35,29,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,32,31,31,,,,34,34,35,,,31,35,31,31,31,31,31,31,
,,,,,,,,,,,,34,34,34,34,34,34,34,34,32,33,32,33,33,36,36,36,36,36,30,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,32,31,31,33,32,32,,,,35,36,36,,,32,36,32,32,32,32,32,32,
,,,,,,,,,,,,35,35,35,35,35,35,35,35,34,35,34,35,,,,,,,,33,33,33,33,33,33,33,33,33,33,33,33,32,32,32,33,33,32,34,33,33,,,,,,,,,33,,33,33,33,33,33,33,
,,,,,,,,,,,,36,36,36,36,36,36,36,36,35,36,35,36,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,33,33,33,34,34,34,35,36,34,,,,,,,,,34,,34,34,34,34,35,34,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,35,35,35,36,,,,,,,,,,,35,,35,35,35,36,36,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,,,,,,,,,,,,,,36,36,,,,36,
